id,name,courtesy_name,style_name,dynasty_tier,dynasty_tiers,dynasty,birth_year,death_year,index_year,category,degree
13,晁補之,旡咎、無咎,歸來子、濟北,宋,宋,宋,1049,1106,1049,文學家,25
217,張方平,安道,樂全居士,宋,宋,宋,1007,1091,1007,文學家,42
630,韓琦,稚圭,贛叟,宋,宋,宋,1008,1075,1008,文學家,65
669,韓元吉,旡咎,南澗,宋,宋,宋,1118,1187,1118,文學家,39
1384,歐陽修,永叔,六一居士、醉翁,宋,宋,宋,1007,1072,1007,文學家,139
1488,司馬光,君實,涑水先生、迂叟、迂夫,宋,宋,宋,1019,1086,1019,文學家,114
1649,蔡京,元長,,宋,宋,宋,1047,1126,1047,政治家,6
1762,王安石,介甫,半山老人,宋,宋,宋,1021,1086,1021,文學家,85
2022,楊時,中立、行可,龜山先生,宋,宋,宋,1053,1135,1053,文學家,48
3075,陳亮,同父、同甫,龍川,宋,宋,宋,1143,1194,1143,文學家,57
3257,朱熹,仲晦、元晦,晦庵、晦翁、滄洲病叟、紫陽、考亭、遯翁、雲谷老人,宋,宋,宋,1130,1200,1130,文學家,265
3332,韓愈,退之,,隋唐,隋唐,唐,768,825,768,文學家,53
3595,劉克莊,潛夫,後村、後村居士,宋,宋、元,宋,1187,1269,1187,文學家,69
3605,柳宗元,子厚,,隋唐,隋唐,唐,773,819,773,文學家,31
3624,樓鑰,啓伯、大防,攻媿主人,宋,宋,宋,1137,1213,1137,文學家,97
3632,陸九淵,子靜,象山、象山先生、象山翁,宋,宋,宋,1139,1192,1139,文學家,44
3640,陸游,務觀,放翁、龜堂老人,宋,宋,宋,1125,1209,1125,文學家,74
3767,蘇軾,子瞻,東坡居士,宋,宋,宋,1036,1101,1036,文學家,159
3888,鄒浩,志全、志完、至完,道鄉先生,宋,宋,宋,1060,1111,1060,文學家,54
3915,杜甫,子美,少陵野老、杜陵布衣,隋唐,隋唐,唐,712,770,712,文學家,33
4001,魏了翁,華父,師立齋、白鶴山人、自菴、願豐亭、鶴山,宋,宋、元,宋,1178,1237,1178,文學家,72
7026,范祖禹,夢得、淳夫、純父、純甫,,宋,宋,宋,1041,1098,1041,文學家,39
7055,呂祖謙,伯恭,東萊先生,宋,宋,宋,1137,1181,1137,文學家,125
7111,黃庭堅,魯直,山谷、涪翁,宋,宋,宋,1045,1105,1045,文學家,89
7164,張栻,敬夫、欽夫,南軒、南軒先生,宋,宋,宋,1133,1180,1133,文學家,117
7197,周必大,子充、洪道,平園老叟、省齋居士,宋,宋,宋,1126,1204,1126,文學家,135
7343,孫覿,仲益,鴻慶居士,宋,宋,宋,1081,1169,1081,文學家,24
7364,曾鞏,子固,南豐先生,宋,宋,宋,1019,1083,1019,文學家,48
8008,秦檜,會之,,宋,宋,宋,1090,1155,1090,文學家,22
8043,范仲淹,希文,龍圖老子,宋,宋,宋,989,1052,989,文學家,115
8078,李綱,伯紀,梁溪,宋,宋,宋,1083,1140,1083,文學家,62
8116,蘇頌,子容,,宋,宋,宋,1020,1101,1020,文學家,28
10084,吳澄,幼清,草廬先生,元,元、宋,元,1249,1333,1249,文學家,95
10097,宋濂,景濂,溫樹、潛溪、龍門子,明,明、元,明,1310,1381,1310,文學家,102
10258,真德秀,希元、景元、景希,西山、西山先生,宋,宋、元,宋,1178,1235,1178,文學家,114
10289,袁燮,和叔,絜齋、絜齋先生,宋,宋,宋,1144,1224,1144,文學家,54
10389,袁桷,伯長,,元,元、宋,元,1266,1327,1266,文學家,58
10565,胡銓,邦衡,澹庵,宋,宋,宋,1102,1180,1102,文學家,60
10566,楊萬里,廷秀,誠齋先生,宋,宋,宋,1127,1206,1127,文學家,90
10585,陳傅良,君舉,止齋,宋,宋,宋,1137,1203,1137,文學家,52
10598,王十朋,龜齡,梅溪,宋,宋,宋,1112,1171,1112,文學家,44
10706,王柏,伯會、會之,長嘯、魯齋,宋,宋、元,宋,1197,1274,1197,文學家,31
10726,王褘,子充,華川,明,明、元,明,1322,1373,1322,文學家,46
10740,黃溍,晉卿,,元,元、宋,元,1277,1357,1277,文學家,91
10749,葉適,正則,水心先生,宋,宋,宋,1150,1223,1150,文學家,66
10792,蘇天爵,伯修,,元,元,元,1294,1352,1294,文學家,68
10801,虞集,伯生,邵庵,元,元、宋,元,1272,1348,1272,文學家,126
10815,歐陽玄,原功,圭齋,元,元,元,1283,1357,1283,文學家,56
11134,黃榦,直卿,勉齋,宋,宋,宋,1152,1221,1152,文學家,45
11800,劉宰,平國,漫塘病叟,宋,宋、元,宋,1166,1239,1166,文學家,20
12087,楊維禎,廉夫,抱遺老人、東維子、鐵崖、鐵笛道人,元,元、明,元,1296,1370,1296,文學家,42
12253,蕭道成,,,魏晋南北朝,魏晋南北朝、秦汉,南齊,0,482,419,政治家,1
12367,楊儉,,,魏晋南北朝,魏晋南北朝、秦汉,西魏,0,0,494,文學家,2
13060,李世民（唐太宗）,,,隋唐,隋唐,唐,598,649,598,文學家,8
13575,張籍,文昌,,隋唐,隋唐,唐,766,830,766,文學家,24
13624,權德輿,載之,,隋唐,隋唐,唐,761,818,761,文學家,16
15887,孔丘,,,春秋战国,春秋战国,漢前,-551,-479,-551,學者,2
