source,target,type,subtype,direction,source_text,source_pages,year,assoc_code
13,3767,同僚,被Y欣賞/器重,P,,,,17
13,7111,唱和,為Y作墓誌銘,A,宋人傳記資料索引(電子版),16026,0,44
13,3767,唱和,為Y所著書作跋,A,宋人傳記資料索引(電子版),23552,0,46
13,7111,唱和,為Y所著書作跋,A,宋人傳記資料索引(電子版),16026,0,46
13,7111,交往,同學、同門,M,宋人傳記資料索引(電子版),16026,,117
13,1384,唱和,為Y作祭文,A,,,1110,145
13,1488,唱和,為Y作祭文,A,,,1110,145
13,1488,唱和,為Y作祭文,A,宋人傳記資料索引(電子版),2420,0,145
13,3767,唱和,為Y作祭文,A,宋人傳記資料索引(電子版),23552,0,145
13,3767,唱和,為Y作畫贊(畫像記),A,宋人傳記資料索引(電子版),23552,0,428
13,3767,唱和,致書Y,A,全宋文,126.26,,429
13,7111,唱和,致書Y,A,全宋文,126.41,,429
13,7111,唱和,被致書由Y,P,全宋文,106.128,,430
13,669,唱和,建築物得到Y的題詠、記、命名,P,宋人傳記資料索引(電子版),10729,0,444
217,8043,同僚,被Y推薦,P,宋人傳記資料索引(電子版),12940,0,14
217,3767,唱和,書序由Y所作,P,宋人傳記資料索引(電子版),12940,,33
217,3767,唱和,墓誌銘由Y所作,P,宋人傳記資料索引(電子版),12940,0,43
217,3624,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),12940,0,45
217,3767,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),12940,0,45
217,7197,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),12940,0,45
217,1762,政敵,反對/不支持Y的政策,A,宋人傳記資料索引(電子版),12940,,136
217,8043,唱和,為Y作祭文,A,,,1068,145
217,8043,唱和,為Y作祭文,A,宋人傳記資料索引(電子版),9075,0,145
217,3767,唱和,祭文由Y所作,P,宋人傳記資料索引(電子版),12940,0,146
217,8116,唱和,祭文由Y所作,P,,,1068,146
217,8116,唱和,祭文由Y所作,P,宋人傳記資料索引(電子版),12940,0,146
217,8043,唱和,致書Y,A,,,,429
217,8043,唱和,致書Y,A,全宋文,37.341,,429
217,1762,唱和,被致書由Y,P,全宋文,64.155,,430
217,3767,唱和,被致書由Y,P,全宋文,87.366,,430
217,7111,唱和,被致書由Y,P,全宋文,104.287,,430
217,8043,唱和,被致書由Y,P,全宋文,18.366-367,,430
217,8116,唱和,被致書由Y,P,全宋文,61.318,,430
217,1384,唱和,收到Y的答書,P,全宋文,33.367-368,,432
217,1488,交往,被Y奏論,P,宋人傳記資料索引(電子版),12940,0,554
630,8116,同僚,推薦,A,宋人傳記資料索引(電子版),23557,,13
630,1384,同僚,得到Y的支持,P,宋人傳記資料索引(電子版),20692,,26
630,8043,唱和,為Y所著書作序,A,,,1068,32
630,8043,唱和,為Y所著書作序,A,宋人傳記資料索引(電子版),9075,0,32
630,1384,唱和,為Y作墓誌銘,A,,,1068,44
630,1384,唱和,為Y作墓誌銘,A,宋人傳記資料索引(電子版),20692,,44
630,3257,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),22685,0,45
630,3595,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),22685,0,45
630,3640,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),22685,0,45
630,3767,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),22685,0,45
630,3888,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),22685,0,45
630,7111,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),22685,0,45
630,7197,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),22685,0,45
630,10084,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),22685,0,45
630,28143,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),22685,0,45
630,8078,唱和,傳記作者為Y,P,宋人傳記資料索引(電子版),22685,0,132
630,1384,唱和,為Y作祭文,A,,,1068,145
630,1384,唱和,為Y作祭文,A,宋人傳記資料索引(電子版),20692,,145
630,8043,唱和,為Y作祭文,A,,,1068,145
630,8043,唱和,為Y作祭文,A,宋人傳記資料索引(電子版),9075,0,145
630,3767,唱和,祭文由Y所作,P,,,1068,146
630,3767,唱和,祭文由Y所作,P,宋人傳記資料索引(電子版),22685,0,146
630,8043,同僚,同僚,M,宋人傳記資料索引(電子版),22685,,197
630,10598,唱和,畫贊(畫像記)由Y所作,P,宋人傳記資料索引(電子版),22685,0,427
630,1384,唱和,致書Y,A,全宋文,40.15,,429
630,1488,唱和,致書Y,A,全宋文,40.17,,429
630,8043,唱和,致書Y,A,全宋文,39.300,,429
630,1384,唱和,被致書由Y,P,全宋文,33.185-204,,430
630,3767,唱和,被致書由Y,P,全宋文,87.297,,430
630,8043,唱和,被致書由Y,P,全宋文,18.340-357,,430
630,1384,唱和,收到Y的啓,P,全宋文,33.164,,434
630,1384,唱和,建築物得到Y的題詠、記、命名,P,宋人傳記資料索引(電子版),22685,0,444
630,3595,唱和,建築物得到Y的題詠、記、命名,P,宋人傳記資料索引(電子版),22685,0,444
630,3767,唱和,建築物得到Y的題詠、記、命名,P,宋人傳記資料索引(電子版),22685,0,444
630,1488,唱和,祠記由Y所作,P,宋人傳記資料索引(電子版),22685,0,561
669,3257,同僚,推薦,A,宋人傳記資料索引(電子版),3237,0,13
669,3640,唱和,書序由Y所作,P,宋人傳記資料索引(電子版),22750,0,33
669,1384,唱和,為Y所著書作跋,A,宋人傳記資料索引(電子版),20692,0,46
669,1488,唱和,為Y所著書作跋,A,宋人傳記資料索引(電子版),2420,0,46
669,1762,唱和,為Y所著書作跋,A,宋人傳記資料索引(電子版),1536,0,46
669,3767,唱和,為Y所著書作跋,A,宋人傳記資料索引(電子版),23552,0,46
669,7111,唱和,為Y所著書作跋,A,宋人傳記資料索引(電子版),16026,0,46
669,3640,唱和,祭文由Y所作,P,,,1177,146
669,3640,唱和,祭文由Y所作,P,宋人傳記資料索引(電子版),22750,0,146
669,3640,唱和,為Y作臨別贈言(送別詩、序),A,宋人傳記資料索引(電子版),14736,0,162
669,7055,唱和,為Y作畫贊(畫像記),A,,,,428
669,7055,唱和,為Y作畫贊(畫像記),A,宋人傳記資料索引(電子版),6664,0,428
669,3075,唱和,被致書由Y,P,全宋文,279.157,,430
669,3075,唱和,答Y書,A,全宋文,216.58,,431
669,3257,唱和,答Y書,A,全宋文,216.55-56,,431
669,3257,唱和,收到Y的答書,P,全宋文,244.278,,432
669,13,唱和,為Y之建築物題詠、記、命名,A,宋人傳記資料索引(電子版),10729,0,443
669,10749,唱和,建築物得到Y的題詠、記、命名,P,宋人傳記資料索引(電子版),22750,0,444
1384,3767,同僚,黨羽為Y,P,宋人傳記資料索引(電子版),,1068,7
1384,1488,同僚,推薦,A,,,1068,13
1384,1488,同僚,推薦,A,宋人傳記資料索引(電子版),2420,0,13
1384,1762,同僚,推薦,A,宋人傳記資料索引(電子版),,,13
1384,3767,同僚,推薦,A,宋人傳記資料索引(電子版),23552,0,13
1384,7364,同僚,推薦,A,宋人傳記資料索引(電子版),15520,0,13
1384,8043,同僚,被Y推薦,P,,,1068,14
1384,8043,同僚,被Y推薦,P,宋人傳記資料索引(電子版),20692,0,14
1384,1762,師生,學生為Y,P,人名權威資料（中央研究院歷史語言研究所）,18589,,23
1384,7364,師生,學生為Y,P,人名權威資料（中央研究院歷史語言研究所）,18589,,23
1384,630,同僚,支持,A,宋人傳記資料索引(電子版),20692,,27
1384,3767,唱和,書序由Y所作,P,宋人傳記資料索引(電子版),20692,,33
1384,4001,唱和,書序由Y所作,P,宋人傳記資料索引(電子版),20692,0,33
1384,7197,唱和,書序由Y所作,P,宋人傳記資料索引(電子版),20692,0,33
1384,630,唱和,墓誌銘由Y所作,P,,,1068,43
1384,630,唱和,墓誌銘由Y所作,P,宋人傳記資料索引(電子版),20692,,43
1384,669,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),20692,0,45
1384,3075,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),20692,0,45
1384,3257,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),20692,0,45
1384,3595,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),20692,0,45
1384,3624,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),20692,0,45
1384,3640,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),20692,0,45
1384,3767,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),20692,0,45
1384,7111,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),20692,0,45
1384,7197,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),20692,0,45
1384,8078,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),20692,0,45
1384,10084,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),20692,0,45
1384,10706,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),20692,0,45
1384,10740,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),20692,0,45
1384,10801,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),20692,0,45
1384,10815,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),20692,0,45
1384,27957,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),20692,0,45
1384,28143,唱和,書跋由Y所作,P,宋人傳記資料索引(電子版),20692,0,45
1384,1762,政敵,不合,M,宋人傳記資料索引(電子版),20692,,61
1384,3257,唱和,傳記作者為Y,P,宋人傳記資料索引(電子版),20692,0,132
1384,8043,唱和,為Y作祭文,A,,,1068,145
1384,8043,唱和,為Y作祭文,A,宋人傳記資料索引(電子版),9075,0,145
